,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Squad,League
251,Dara O'Shea,ie IRL,DF,26-069,33,33,2942.0,32.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,1.2,1.2,0.5,1.7,3.0,73.0,8.0,0.0,0.06,0.06,0.0,0.06,0.04,0.02,0.05,0.04,0.05,Matches,Ipswich-Town,Premier-League
252,Liam Delap,eng ENG,FW,22-093,35,32,2552.0,28.4,12.0,2.0,14.0,10.0,2.0,2.0,10.0,0.0,9.3,7.7,1.9,9.6,60.0,30.0,107.0,0.42,0.07,0.49,0.35,0.42,0.33,0.07,0.4,0.27,0.34,Matches,Ipswich-Town,Premier-League
253,Leif Davis,eng ENG,DF,25-120,31,30,2563.0,28.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,0.9,0.9,4.3,5.2,48.0,55.0,117.0,0.04,0.07,0.11,0.04,0.11,0.03,0.15,0.18,0.03,0.18,Matches,Ipswich-Town,Premier-League
254,Sam Morsy,eg EGY,MF,33-244,31,29,2576.0,28.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,0.4,0.4,0.9,1.3,18.0,107.0,9.0,0.03,0.03,0.07,0.03,0.07,0.01,0.03,0.04,0.01,0.04,Matches,Ipswich-Town,Premier-League
255,Omari Hutchinson,eng ENG,"MF,FW",21-194,29,28,2403.0,26.7,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,2.4,2.4,3.3,5.7,82.0,71.0,142.0,0.11,0.07,0.19,0.11,0.19,0.09,0.12,0.21,0.09,0.21,Matches,Ipswich-Town,Premier-League
256,Jacob Greaves,eng ENG,DF,24-242,23,23,2025.0,22.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.3,1.3,0.2,1.5,8.0,56.0,9.0,0.04,0.0,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07,Matches,Ipswich-Town,Premier-League
257,Jens Cajuste,se SWE,MF,25-275,28,23,1813.0,20.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.6,1.1,23.0,46.0,16.0,0.05,0.0,0.05,0.05,0.05,0.02,0.03,0.05,0.02,0.05,Matches,Ipswich-Town,Premier-League
258,Arijanet Muric,xk KVX,GK,26-186,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,Premier-League
259,Axel Tuanzebe,cd COD,DF,27-179,20,18,1530.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.3,0.5,9.0,49.0,9.0,0.0,0.06,0.06,0.0,0.06,0.01,0.02,0.03,0.01,0.03,Matches,Ipswich-Town,Premier-League
260,Cameron Burgess,au AUS,DF,29-203,18,16,1541.0,17.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.5,1.6,2.0,42.0,4.0,0.0,0.12,0.12,0.0,0.12,0.06,0.03,0.09,0.06,0.09,Matches,Ipswich-Town,Premier-League
261,Ben Johnson,eng ENG,"DF,FW",25-108,23,14,1354.0,15.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.1,1.1,1.3,2.3,16.0,27.0,33.0,0.07,0.13,0.2,0.07,0.2,0.07,0.09,0.16,0.07,0.16,Matches,Ipswich-Town,Premier-League
262,Kalvin Phillips,eng ENG,MF,29-161,19,14,1237.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.4,0.4,0.2,0.7,4.0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Ipswich-Town,Premier-League
263,Sammie Szmodics,ie IRL,"FW,MF",29-230,19,13,979.0,10.9,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.4,3.4,0.2,3.6,16.0,18.0,46.0,0.37,0.0,0.37,0.37,0.37,0.31,0.02,0.33,0.31,0.33,Matches,Ipswich-Town,Premier-League
264,Luke Woolfenden,eng ENG,DF,26-203,15,12,1187.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,Premier-League
265,Alex Palmer,eng ENG,GK,28-275,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,Premier-League
266,Wes Burns,wls WAL,"FW,DF",30-170,18,12,926.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.6,2.2,38.0,8.0,65.0,0.0,0.1,0.1,0.0,0.1,0.05,0.16,0.21,0.05,0.21,Matches,Ipswich-Town,Premier-League
267,Jack Clarke,eng ENG,"FW,MF",24-170,30,11,1090.0,12.1,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.1,3.0,34.0,38.0,48.0,0.0,0.33,0.33,0.0,0.33,0.08,0.17,0.25,0.08,0.25,Matches,Ipswich-Town,Premier-League
268,Julio Enciso,py PAR,"FW,MF",21-109,12,11,799.0,8.9,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,1.3,2.8,21.0,25.0,41.0,0.23,0.34,0.56,0.23,0.56,0.17,0.14,0.31,0.17,0.31,Matches,Ipswich-Town,Premier-League
269,Conor Chaplin,eng ENG,"MF,FW",28-085,20,9,768.0,8.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.7,1.9,11.0,27.0,20.0,0.12,0.12,0.23,0.12,0.23,0.14,0.08,0.22,0.14,0.22,Matches,Ipswich-Town,Premier-League
270,Nathan Broadhead,wls WAL,"MF,FW",27-037,16,6,605.0,6.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.6,2.1,17.0,12.0,27.0,0.15,0.0,0.15,0.15,0.15,0.22,0.1,0.32,0.22,0.32,Matches,Ipswich-Town,Premier-League
271,Christian Walton,eng ENG,GK,29-184,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,Premier-League
272,Jaden Philogene Bidace,eng ENG,"FW,DF",23-093,10,5,474.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.2,2.2,13.0,10.0,36.0,0.38,0.0,0.38,0.38,0.38,0.37,0.05,0.42,0.37,0.42,Matches,Ipswich-Town,Premier-League
273,Jack Taylor,ie IRL,MF,26-323,30,4,826.0,9.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.5,1.3,11.0,42.0,22.0,0.11,0.0,0.11,0.11,0.11,0.08,0.06,0.14,0.08,0.14,Matches,Ipswich-Town,Premier-League
274,Harry Clarke,eng ENG,DF,24-071,7,4,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.0,0.1,5.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,Ipswich-Town,Premier-League
275,George Hirst,sct SCO,FW,26-086,24,3,522.0,5.8,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,1.9,1.9,0.3,2.2,9.0,13.0,29.0,0.52,0.17,0.69,0.52,0.69,0.32,0.06,0.38,0.32,0.38,Matches,Ipswich-Town,Premier-League
276,Conor Townsend,eng ENG,DF,32-069,6,3,335.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7,2.0,8.0,13.0,0.0,0.27,0.27,0.0,0.27,0.01,0.18,0.18,0.01,0.18,Matches,Ipswich-Town,Premier-League
277,Chiedozie Ogbene,ie IRL,FW,28-011,5,3,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,Ipswich-Town,Premier-League
278,Massimo Luongo,au AUS,MF,32-229,9,2,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,Premier-League
279,Ben Godfrey,eng ENG,DF,27-117,3,2,159.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,Premier-League
280,Ali Al Hamadi,iq IRQ,FW,23-072,11,0,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.1,0.4,4.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.24,0.05,0.28,0.24,0.28,Matches,Ipswich-Town,Premier-League
281,Marcus Harness,eng ENG,MF,29-077,2,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,Premier-League
282,George Edmundson,eng ENG,DF,27-254,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,Premier-League
283,Jamie Vardy,eng ENG,FW,38-121,33,33,2655.0,29.5,8.0,3.0,11.0,7.0,1.0,2.0,5.0,0.0,10.7,9.1,2.9,12.0,27.0,20.0,110.0,0.27,0.1,0.37,0.24,0.34,0.36,0.1,0.46,0.31,0.41,Matches,Leicester-City,Premier-League
284,James Justin,eng ENG,DF,27-078,33,31,2669.0,29.7,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.5,1.5,0.6,2.1,39.0,87.0,92.0,0.07,0.03,0.1,0.07,0.1,0.05,0.02,0.07,0.05,0.07,Matches,Leicester-City,Premier-League
285,Victor Bernth Kristiansen,dk DEN,DF,22-147,28,28,2380.0,26.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.4,1.7,39.0,69.0,75.0,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.06,0.01,0.06,Matches,Leicester-City,Premier-League
286,Wout Faes,be BEL,DF,27-039,31,27,2545.0,28.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,0.1,1.5,12.0,80.0,1.0,0.04,0.0,0.04,0.04,0.04,0.05,0.0,0.05,0.05,0.05,Matches,Leicester-City,Premier-League
287,Mads Hermansen,dk DEN,GK,24-305,27,27,2385.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City,Premier-League
288,Wilfred Ndidi,ng NGA,MF,28-147,26,26,2147.0,23.9,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0.0,2.0,2.0,1.8,3.9,17.0,65.0,75.0,0.0,0.17,0.17,0.0,0.17,0.09,0.08,0.16,0.09,0.16,Matches,Leicester-City,Premier-League
289,Bilal El Khannouss,ma MAR,MF,21-002,30,25,2003.0,22.3,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.1,1.1,4.1,5.2,71.0,119.0,83.0,0.09,0.13,0.22,0.09,0.22,0.05,0.18,0.23,0.05,0.23,Matches,Leicester-City,Premier-League
290,Boubakary Soumaré,fr FRA,MF,26-074,28,23,1960.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.3,0.3,0.4,0.7,31.0,95.0,21.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Leicester-City,Premier-League
291,Harry Winks,eng ENG,MF,29-099,22,17,1538.0,17.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.2,1.5,19.0,101.0,11.0,0.0,0.12,0.12,0.0,0.12,0.01,0.07,0.09,0.01,0.09,Matches,Leicester-City,Premier-League
292,Stephy Mavididi,eng ENG,FW,26-346,30,16,1615.0,17.9,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,1.8,1.8,2.6,4.4,91.0,57.0,138.0,0.22,0.06,0.28,0.22,0.28,0.1,0.15,0.25,0.1,0.25,Matches,Leicester-City,Premier-League
293,Conor Coady,eng ENG,DF,32-076,19,16,1444.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Leicester-City,Premier-League
294,Jordan Ayew,gh GHA,"FW,MF",33-243,27,16,1425.0,15.8,5.0,0.0,5.0,4.0,1.0,1.0,5.0,0.0,3.0,2.2,1.0,3.2,42.0,37.0,77.0,0.32,0.0,0.32,0.25,0.25,0.19,0.06,0.25,0.14,0.2,Matches,Leicester-City,Premier-League
295,Jannik Vestergaard,dk DEN,DF,32-282,18,16,1391.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.1,0.2,3.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches,Leicester-City,Premier-League
296,Facundo Buonanotte,ar ARG,"FW,MF",20-140,29,14,1474.0,16.4,4.0,2.0,6.0,4.0,0.0,0.0,7.0,0.0,3.8,3.8,3.1,6.8,38.0,52.0,69.0,0.24,0.12,0.37,0.24,0.37,0.23,0.19,0.42,0.23,0.42,Matches,Leicester-City,Premier-League
297,Caleb Okoli,it ITA,DF,23-303,18,12,1124.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.0,0.6,3.0,32.0,2.0,0.08,0.0,0.08,0.08,0.08,0.05,0.0,0.05,0.05,0.05,Matches,Leicester-City,Premier-League
298,Luke Thomas,eng ENG,DF,23-336,11,10,873.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.6,3.0,30.0,13.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.06,0.04,0.06,Matches,Leicester-City,Premier-League
299,Bobby De Cordova-Reid,jm JAM,FW,32-099,23,9,744.0,8.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.2,2.0,14.0,15.0,48.0,0.12,0.24,0.36,0.12,0.36,0.1,0.15,0.24,0.1,0.24,Matches,Leicester-City,Premier-League
300,Oliver Skipp,eng ENG,MF,24-238,21,8,996.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.2,0.2,0.3,0.4,16.0,31.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches,Leicester-City,Premier-League
301,Jakub Stolarczyk,pl POL,GK,24-144,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City,Premier-League
302,Kasey McAteer,ie IRL,"FW,MF",23-171,15,6,612.0,6.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.6,1.3,16.0,11.0,52.0,0.0,0.15,0.15,0.0,0.15,0.1,0.09,0.19,0.1,0.19,Matches,Leicester-City,Premier-League
303,Abdul Fatawu Issahaku,gh GHA,FW,21-065,11,6,579.0,6.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.6,2.0,42.0,17.0,60.0,0.0,0.31,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31,Matches,Leicester-City,Premier-League
304,Patson Daka,zm ZAM,"FW,MF",26-215,21,5,653.0,7.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.1,1.3,10.0,8.0,34.0,0.14,0.0,0.14,0.14,0.14,0.17,0.01,0.18,0.17,0.18,Matches,Leicester-City,Premier-League
305,Ricardo Pereira,pt POR,DF,31-218,8,4,342.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Leicester-City,Premier-League
306,Danny Ward,wls WAL,GK,31-324,2,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City,Premier-League
307,Hamza Choudhury,bd BAN,"MF,DF",27-223,4,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,4.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,Matches,Leicester-City,Premier-League
308,Woyo Coulibaly,fr FRA,DF,25-357,4,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Leicester-City,Premier-League
309,Jeremy Monga,,"FW,MF",,4,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City,Premier-League
310,Odsonne Édouard,fr FRA,FW,27-116,4,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,Leicester-City,Premier-League
311,Jake Evans,,FW,,2,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City,Premier-League
312,Will Alves,eng ENG,FW,20-098,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City,Premier-League
313,Michael Golding,eng ENG,MF,18-354,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City,Premier-League
314,Virgil van Dijk,nl NED,DF,33-307,35,35,3150.0,35.0,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.2,2.2,0.7,3.0,18.0,180.0,6.0,0.09,0.03,0.11,0.09,0.11,0.06,0.02,0.08,0.06,0.08,Matches,Liverpool,Premier-League
315,Mohamed Salah,eg EGY,FW,32-330,35,35,3101.0,34.5,28.0,18.0,46.0,19.0,9.0,9.0,1.0,0.0,24.0,17.0,13.2,30.1,143.0,133.0,440.0,0.81,0.52,1.34,0.55,1.07,0.7,0.38,1.08,0.49,0.87,Matches,Liverpool,Premier-League
316,Ryan Gravenberch,nl NED,MF,22-360,34,34,2921.0,32.5,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,2.9,3.9,65.0,168.0,54.0,0.0,0.12,0.12,0.0,0.12,0.03,0.09,0.12,0.03,0.12,Matches,Liverpool,Premier-League
317,Alexis Mac Allister,ar ARG,MF,26-138,34,30,2575.0,28.6,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,2.8,2.8,4.6,7.4,34.0,174.0,79.0,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26,Matches,Liverpool,Premier-League
318,Trent Alexander-Arnold,eng ENG,DF,26-216,31,28,2296.0,25.5,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,1.8,1.8,6.7,8.5,50.0,221.0,90.0,0.12,0.24,0.35,0.12,0.35,0.07,0.26,0.33,0.07,0.33,Matches,Liverpool,Premier-League
319,Ibrahima Konaté,fr FRA,DF,25-351,28,27,2320.0,25.8,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.7,1.7,1.0,2.7,21.0,103.0,3.0,0.04,0.08,0.12,0.04,0.12,0.07,0.04,0.1,0.07,0.1,Matches,Liverpool,Premier-League
320,Andrew Robertson,sct SCO,DF,31-061,31,27,2308.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,4.1,5.1,58.0,165.0,95.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.2,0.04,0.2,Matches,Liverpool,Premier-League
321,Dominik Szoboszlai,hu HUN,MF,24-198,33,26,2279.0,25.3,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,7.1,7.1,6.2,13.3,65.0,118.0,120.0,0.2,0.2,0.39,0.2,0.39,0.28,0.24,0.53,0.28,0.53,Matches,Liverpool,Premier-League
322,Luis Díaz,co COL,FW,28-118,33,26,2225.0,24.7,12.0,5.0,17.0,12.0,0.0,0.0,2.0,0.0,10.0,10.0,4.9,14.9,103.0,103.0,269.0,0.49,0.2,0.69,0.49,0.69,0.4,0.2,0.6,0.4,0.6,Matches,Liverpool,Premier-League
323,Alisson,br BRA,GK,32-221,25,25,2238.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Liverpool,Premier-League
324,Cody Gakpo,nl NED,FW,26-004,32,20,1717.0,19.1,9.0,3.0,12.0,9.0,0.0,0.0,5.0,0.0,6.5,6.5,3.5,10.0,51.0,52.0,253.0,0.47,0.16,0.63,0.47,0.63,0.34,0.18,0.52,0.34,0.52,Matches,Liverpool,Premier-League
325,Curtis Jones,eng ENG,"MF,DF",24-101,30,17,1528.0,17.0,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,4.1,4.1,1.0,5.1,24.0,95.0,71.0,0.18,0.18,0.35,0.18,0.35,0.24,0.06,0.3,0.24,0.3,Matches,Liverpool,Premier-League
326,Diogo Jota,pt POR,FW,28-158,24,14,1154.0,12.8,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,7.5,7.5,1.8,9.3,36.0,33.0,86.0,0.47,0.23,0.7,0.47,0.7,0.59,0.14,0.73,0.59,0.73,Matches,Liverpool,Premier-League
327,Caoimhín Kelleher,ie IRL,GK,26-169,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,Premier-League
328,Darwin Núñez,uy URU,FW,25-321,27,8,1051.0,11.7,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,5.3,5.3,1.2,6.5,22.0,27.0,69.0,0.43,0.17,0.6,0.43,0.6,0.45,0.11,0.56,0.45,0.56,Matches,Liverpool,Premier-League
329,Kostas Tsimikas,gr GRE,DF,28-364,17,8,747.0,8.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.1,2.5,16.0,71.0,42.0,0.0,0.12,0.12,0.0,0.12,0.05,0.26,0.3,0.05,0.3,Matches,Liverpool,Premier-League
330,Joe Gomez,eng ENG,DF,27-353,9,6,519.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,5.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,Liverpool,Premier-League
331,Conor Bradley,nir NIR,DF,21-306,16,4,567.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.5,1.1,28.0,26.0,31.0,0.0,0.16,0.16,0.0,0.16,0.09,0.07,0.17,0.09,0.17,Matches,Liverpool,Premier-League
332,Jarell Quansah,eng ENG,DF,22-102,12,3,405.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,2.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,Liverpool,Premier-League
333,Harvey Elliott,eng ENG,"MF,FW",22-037,15,1,267.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.9,1.7,8.0,29.0,25.0,0.0,0.34,0.34,0.0,0.34,0.28,0.29,0.57,0.28,0.57,Matches,Liverpool,Premier-League
334,Wataru Endo,jp JPN,MF,32-091,18,1,237.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Liverpool,Premier-League
335,Federico Chiesa,it ITA,FW,27-198,5,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.49,0.49,0.49,Matches,Liverpool,Premier-League
336,Vitezslav Jaros,cz CZE,GK,23-292,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,Premier-League
337,Jayden Danns,eng ENG,MF,19-115,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,Premier-League
338,Joško Gvardiol,hr CRO,DF,23-108,35,34,3097.0,34.4,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,4.4,4.1,2.0,6.1,87.0,256.0,112.0,0.15,0.0,0.15,0.15,0.15,0.13,0.06,0.19,0.12,0.18,Matches,Manchester-City,Premier-League
339,Erling Haaland,no NOR,FW,24-294,29,29,2570.0,28.6,21.0,3.0,24.0,19.0,2.0,3.0,2.0,0.0,20.9,18.5,2.9,21.4,20.0,18.0,110.0,0.74,0.11,0.84,0.67,0.77,0.73,0.1,0.83,0.65,0.75,Matches,Manchester-City,Premier-League
